Dates,Target,Actual
13/03/2023,120,0
20/03/2023,240,0
27/03/2023,360,58
03/04/2023,480,58
10/04/2023,600,58
17/04/2023,720,
24/04/2023,840,
01/05/2023,960,
08/05/2023,1080,
15/05/2023,1200,
22/05/2023,1320,
29/05/2023,1444,
05/06/2023,1567,
