Dates,Target,Actual
13/03/2023,108,100
20/03/2023,216,250
27/03/2023,324,700
03/04/2023,432,1000
10/04/2023,540,1200
17/04/2023,648,1391
24/04/2023,756,1391
01/05/2023,864,1393
08/05/2023,972,
15/05/2023,1080,
22/05/2023,1188,
29/05/2023,1296,
05/06/2023,1406,
